appln_id;appln_title;appln_abstract
1496;method and system for remotely monitoring meters;"the invention concerns a method and system for remote monitoring of a current value displayed by a display (d) of a meter (1) consisting in: taking a picture (p) of said display with a camera equipping a portable communication device (2); sending said picture through the portable communication device and associated network or transferable storage device; collecting and storing at least said picture in a remote computerized datastore (6) communicating with a server (5); storing in said datastore information on the location from which the portable device has sent the picture. <image>"
4311;computer implemented method for generating interrelated computer executable files, computer-based system and computer program product;"summarizing, the present application relates to a computer implemented method for generating interrelated computer executable files at a server side comprising the steps of: \n - providing at a client side a graphical user interface associated with machine readable code in a machine language, wherein the graphical user interface displays data substantially in clear text; \n - selecting and associating two or more sections of machine readable code in machine language at said client side using said graphical user interface; \n - computer implemented verification of a coherence of said selected machine readable code at the client side before compiling said selected machine readable code at the client side and outputting the result of said coherence verification substantially in clear text, wherein \n verifying the coherence of said selected machine readable code comprises \n -- computer implemented verification of the coherence of said selected sections of machine readable code and/or \n -- computer implemented verification of the coherence of said associations of said selected sections of machine readable code; and \n - upon approval of the coherence, compiling the selected and associated two or more sections of machine readable code at a server side to create two or more interrelated executable files which are executable by the server as well as a computer-based system and a computer program product."
6117;palette-based color selection within a user interface theme;a method and system for generating one or more theme files to enable a device to customize colors in a user interface by using a palette to define said colors. the palette includes variable strings that have color values assigned to them. the strings are referred to in style sheets where color attributes are specified, such that colors can be redefined in the palette rather than in the style sheet.
6133;method and system for real time interactive video;a method and a system for real time interactive video include a display device having a frame, a live person, a computing machine having at least one processor, a memory, and a program, and a capture device. the program provides media content and effect track script. the capture device receives a live person image and integrates the live person image with the effect track script, and the program finally displays the outputs of the synthesized media content and the integrated live person image and effect track script on the frame at real time.
9603;method and apparatus for automatic configuration of meta-heuristic algorithms in a problem solving environment;a methodology is presented to address the need for rapid generation and optimization of algorithms that are efficient in solving a given class of problems within the framework of a software environment. the environment incorporates an evolutionary learning methodology which automatically optimizes the configurations of procedural components of the algorithm. in this way, both the efficiency and the quality of algorithm development is enhanced significantly.
14458;open framework system for heterogeneous computing and service integration;an open framework system for both heterogeneous computing and service integration is provided. the open framework system for both heterogeneous computing and service integration according to the present invention comprises a plurality of wrappers both registering and administrating services by service having similar function, a framework transferring an execution result of a service to the applications after discovering the service through the wrappers and invocating the service in case of receiving a message requesting the service from the applications, a message broker transferring messages between the applications and the framework, and an external module converting the protocols for meeting specification of the wrapper for an existing service in an open framework system for both heterogeneous computing and service integration efficiently establishing uss (ubiquitous smart space) by systematically integrating services of various protocols using in a plurality of applications under ubiquitous environment. since the application developed at the open framework system for both heterogeneous computing and service integration according to the present invention is self-existent for even changes of both service and environment, there is no need for the application to be amended in case that the services are further deleted or amended. therefore, the life period of the application may be prolonged.
23702;automation tool, use of an automation tool, and corresponding computer program;the invention relates to an automation tool (30) for planning and implementing an automation solution for a technical process (22), with access to a database (32) comprising a number of objects for the automation solution, wherein the database (32) as an object comprises at least one model (34, 42, 44) of the technical process (22) in which the database (32) comprises at least one transformation rule (48) for transforming the model (34, 42, 44).
25862;a method of stem taper, volume and product breakout prediction;a case-based reasoning method for predicting a complete stem profile of a tree, volume of a tree stem, and/or estimating the product breakout of a tree stem, wherein only partial stem measurements for said tree are available. the method comprises: providing a case base of measured tree stem profiles, said case base comprising a set of reading heights and a corresponding set of stem diameter readings for each measured stem, using the results of a scan of at least part of the stem of said query tree to create at least one query data case, determining the similarity between the at least one query data case and each stem profile in the case base, and selecting at least one stem profile from the case base based on its similarity with the at least one query data case, and using same to make the prediction/estimation.
25970;method and device for the implementation of a communication protocol in a control unit, especially for vehicular applications;"a method and device for the implementation of a communication protocol in an independent control unit comprising: \n ’«Ÿ??Ÿ¦’?Ÿ« a first procedure, using a graphical interface, of importation of the information contained in the messages exchanged in a communication network to which the control unit has to be connected; \n ’«Ÿ??Ÿ¦’?Ÿ« a second procedure of configuration of the activities to be carried out on the communication messages; \n ’«Ÿ??Ÿ¦’?Ÿ« a third procedure of automatic generation of a model equivalent to a message to be transmitted of to be received, following the previous operations."
36899;portable device and method for displaying ml content in a portable device;a portable device with a small-size display is used to display ml content originally intended for a display that is greater in terms of number of pixels. a miniature overview (23) of the content is rendered. the frames are further rendered, one by one, such that the width of each frame is adapted to the number of pixels in one dimension of the small-sized display. one of the rendered frames (21) is displayed and whenever a predetermined condition is satisfied, the miniature overview is displayed on top of the frame at a sub-portion of the display.
42959;a method for creating an optimal cutting plan for a strip-like material;a method for creating a cutting plan for a strip-like material for maximizing a quality yield of the process is invented. in the method a cutting plan for a strip-like material is made based on end-product data, and the strip-like material is driven at a production speed in a manufacturing machine or in a finishing machine, and strip length data is recorded. a chart of the strip-like material characteristics is generated and stored in a memory. the recorded strip length data and the chart of the strip-like material characteristics is calibrated with calibration data in a winding process, and during a set change in the winding process the cutting plan for the strip-like material is optimized for maximizing a quality yield of the process based on the end-product data and the calibrated chart of the strip-like material characteristics, and a revised cutting plan is created from the optimization result.
45968;system and method of content and translations management in multi-language enabled applications;an application component used to successfully manage all necessary content (including translations) of a full blown application that requires multi-language support. it can be integrated in any existing application (written in one of the supported programming languages) and can be configured to add, edit, delete, import and export an unlimited number of translations (distinct languages). the default and additional languages can be exported into and imported from an external file that can be given to a translator for processing. translated text will replace default text when a new language is chosen from the list of available translations without having the need of creating separate layouts, pages, components and/or structures.
49562;method and program network for handling exceptions;the method involves storing an exception information in form of a data structure (my-error-struct) for exception handling. an error program element (box) is provided, which has an input (in) and an output (out). the exception information of the system depends on the programmed hardware. the data structure comprises the information, such as type of the exception, place of the exception, or addressing mode. an independent claim is included for a program network for a graphic programming language.
50129;method and apparatus for improved control of air pressure delivered to a spray applicator;an apparatus for spray pattern control in an automated painting or coating apparatus comprising a supply of compressed gas (1), a valve means (11a,11b) controlling the gas supply to an applicator (5), and a conduit (1) transporting said gas from the supply to the applicator (5). a pressure sensing means (13) is arranged to measure the pressure of the gas delivered to the applicator (5), and a control loop (12) uses said valve means (11a,11b) to regulate the pressurized gas flow to control gas pressure at the applicator (5) based on the measured gas pressure.
52656;system and method for executing wireless applications using common ui components from a ui repository;a system and method is provided having an execution environment of an intelligent runtime device framework for generating user interface elements on a user interface (ui), declared on the device. the proposed method allows user interface definitions through xml metadata ui definitions (or other structured definition language schema) instead of requiring an implementation of the screen elements in executable code for the application. the ui definitions are stored in a common ui repository as a common resource of the applications on the device and is processed at runtime. the ui definitions are independent from the target platform of the device. the 'look and feel' of all the applications on the device can be customized and branded as required. defining layout and ordering of ui elements separately from the applications logic offers modularization of the applications. such modularization allows reuse of already defined ui screens and sharing them between different applications. the system has a themes and branding repository, a ui repository, a visualization engine, an execution environment, and a ui service. the method includes steps of parsing the xml definitions, applying theme and branding characteristics, providing a screen model to the execution environment, visualizing the user interface, and event handling. <image>
53257;system and method for dynamic configuration of scanning engine;"a method and system for facilitating targeted mobile advertisement , the system having: a mobile device having: a communication subsystem adapted to send and receive data; at least one application adapted to consume data, create data or consume and create data; a scan engine registered with the at least one application, the scan engine adapted to scan data consumed or created by the application, the scan engine further adapted to provide an ad trigger alert; and a configuration module within the scan module the configuration module adapted to store keywords, rules or keywords and rules; a mobile advertising server, the mobile advertising server adapted to receive ad trigger alerts from the scan engine; and an advertising content provider, the advertising content provider registering with the mobile advertising server and providing advertising content, wherein, the configuration module is adapted to dynamically be configured based on the information from advertising content provider."
53265;a dual surrogate memetic framework for single/multi-objective evolutionary optimization of computatoinally expensive problems;"a method for the optimization of real-world objects in terms of physical parameters comprises the steps: \n - creating an offspring population (p o ) by applying an evolutionary operator to a parental population (p c ), wherein the populations (p 0 , p 1 ) comprise individuals representing a real-world object to be optimized in terms of its physical parameters; \n - performing local refinements on at least one individual of the offspring population (p o ); \n - selecting a new parental population (p c ) from a selection pool (p s ) by using a fitness function, the fitness function using physical parameters for assessing the fitness; \n - repeating the above steps until a predetermined termination criterion is met; and \n - outputting the optimized individual as a representation of an optimized real-world object. the method may be applied in all forms of design or search problems that contain computationally expensive functions, simulator or analysis code, such as drug design, material design, rainfall prediction, aerospace design, aircraft design, aerodynamic design, structural design, electromagnetic design, physics-based modelling and etc."
54657;an architecture for self-developing devices;a self-developing device (1) capable of open-ended development makes use of a special motivational system for selecting which action should be taken on the environment by an associated sensory-motor apparatus (2). for a given candidate action, a motivational module (11) calculates a reward associated with the corresponding values that would be taken by one or more motivational variables that are independent of the nature of the associated sensory-motor apparatus. preferred motivational variables are dependent on the developmental history of the device (1), and include variables quantifying the predictability, familiarity and stability of sensory-motor variables serving as the inputs to the device (1). the sensory-motor variables represent the status of the external environment and/or the internal resources (3) of the sensory-motor apparatus (2) whose behaviour is controlled by the self-developing device (1). open-ended development is enabled by attributing a reward which is proportional to the rate of change of the history-dependent motivational variables. <image>
55014;system and method for effecting simultaneous control of remote computers;the invention describes a system and methodology for controlling multiple devices simultaneously from one control device. the control device is provided with a display having a plurality of windows, each having a visual representation related to the activity of the multiple devices. by relaying commands effected at the control device through a intermediary server, it is possible to simultaneously effect a corresponding processing of the same commands at each of the multiple devices. on effecting a command the multiple devices relay back, through the server, an image representative of the result of the processing of that command to the control device for display.
55016;system and method and apparatus for using uml tools for defining web service bound component applications;a system and method is provided for generating a software application including a plurality of components, a first set of the components having metadata descriptors expressed in a structured definition language for defining configuration information of the software application and a second set of the components being expressed as a series of scripted instructions coupled to the metadata descriptors for defining a workflow of the software application. the software application is used for facilitating interaction with a schema-defined service by a terminal device over a network. the system and method comprise a workflow extractor for identifying a workflow sequence generated by a modeling tool in an output of the modeling tool. the workflow sequence is associated with at least one of a flow diagram or a relational diagram of the modeling tool for describing interactions between a pair of components of the first set of components. the system and method also include a workflow generator for generating a workflow mechanism based on the identified workflow sequence, the workflow mechanism for associating processing of the metadata descriptors of one component of the pair of components with the other component of the pair of components during execution of the software application. the workflow mechanism can be a component mapping expressed in the metadata descriptors of the first set of components or expressed as the series of scripted instructions.
56013;method and system for generating of a control flow graph for representing a program code;"the present invention relates to generating of a control flow graph for representing and/or checking a program code, in particular, a program code being implemented by use of object oriented programming, wherein a checking of a system based on or operated by said program code is enabled by the generated control flow graph. the control flow graph is generated by generating of at least one class node in said control flow graph, wherein each class node represents a class defined by the program code; generating of at least one method node in said control flow graph, wherein each method node represents a method defined by a class defined by the program code; and generating of at least one statement node in said control flow graph, wherein each statement node represents a statement of a code of a method defined by the program code."
56892;simulation of complex systems;"the invention provides a software architecture for generating and self-assembling multi-scale computer models of dynamic systems, in a way that mimics (bottom-up) morphogenesis in living organisms, but with the addition of (top-down) constraints that result in efficient model generation. once generated, the model can be used for simulations within the same software architecture. exemplary applications include the generation of models for the simulation of: human cells / organs; non-living physical artefacts; business processes; urban environments; nanotech structures. non-modelling applications for the architecture are also envisaged, including: data mining applications; decision making; e-learning/training and self-programming agents. the architecture itself comprises a collection of nested physical objects ('fus') and a related, parallel collection of nested agents ('psus') that can act on the physical objects."
61574;method and apparatus for call categorization;a method and apparatus for automated categorization of an interaction between a member of an organization and a second party. the method comprises defining one or more criteria and one or more categories, wherein each category relates to a combination of one or more criteria. the criteria involve data extracted from the interactions as well as external data. each interaction is checked against the criteria, and is then assigned to one or more categories according to the met criteria. an optional evaluation of the categorization step, and improvement of the categorization if the evaluation results fall below a threshold are disclosed.
67455;application execution interruption managing method for e.g. computing system, involves executing control for changing current directory towards directory defined by parameterable value, following interruption and before file generation;the method involves generating a core file in a current application executing directory, where the file comprises a copy of a memory used by an application (24) at the moment of interruption of execution. a control for changing the current directory towards a directory defined by a parameterable value is executed by a computing system following to the interruption of the execution and before the generation of the file. independent claims are also included for the following: (1) a computing system for managing an interruption of execution of an application in a directory of the computing system (2) a computer program comprising program code instructions for implementing an application execution interruption managing method.
