appln_id;appln_title;appln_abstract
199;method for measuring the thickness of a film hose;the method involves scanning a film tube (16) such that individual measurements are implemented at measuring positions distributed over breadth of the film tube. total thickness of two segments of the film tube is measured, during measurement. a neural network (26) is trained with measured values for the total thickness that is obtained in simulated or real measuring processes with known thickness profiles of a film. the measured values are input into the neural network for calculating a thickness profile (pj) of the film. an independent claim is also included for a device for measuring a thickness profile in a blown film line.
9705;mechatronic-based inverter;a mechatronic-based converter uses an integrated artificial intelligence optimization technique to minimize the total harmonic distortion and maximum flat efficiency for the entire range of load, and to a resonant circuit within the inverter. the performance of the inverter is further improved by injecting voltage harmonics to increase the first harmonics. inverters of the present invention can be stacked to form a multi-level inverter controlled by space vector pulse width modulation.
25929;method and system for supporting a decision-making process;"a method for supporting a decision-making process in a time critical scenario managed by a distributed workflow consisting of a plurality of distributed nodes, the method comprising: \n - assessing a given situation with available information to establish confidence percentages for possible decisions associated with the given situation and the distributed workflow; \n - creating and providing a distributed workflow architecture that allows the distributed workflow to use the confidence percentages to enable a decision maker to get knowledge of a best possible course of action when executing the distributed workflow, \n wherein fuzzy logic is used to compute and maintain the confidence percentages for the possible decisions based on the available information. furthermore, an appropriate workflow management system is proposed."
44330;apparatus and method of calibrating for a modeling tool and modeling tool incorporating such an apparatus;the apparatus has a decomposing unit (16) to decompose outputs (s) of a modeling tool and observations (o) from the tool in independent components. a neural network (18) processes data from the tool to modify the outputs according to acquisition of modifications, during a training phase, to be provided to the outputs for making the outputs to correspond with the observations. independent claims are also included for the following: (a) a calibrating method for a modeling tool (b) a computer program recorded on a data storage medium including instructions for executing a calibrating method.
46934;intelligent biometric radar system;embodiments of a biometric radar system and method for identifying a person's positional state are generally described herein. in some embodiments, the biometric radar (100) includes phase adjusters (108) to phase adjust a sequence of radar return signals received through two or more receive antennas (102) to force coherency against stationary objects and remove at least some phase noise due to the stationary objects. the biometric radar also includes a signal processor (110) to segment the phase adjusted radar return signals into a plurality of multi-resolutional doppler components. each multi-resolutional doppler component may be associated with one of a plurality of biometric features (122). the biometric radar system also includes a neural network (112) to combine and weight the segmented radar returns for each biometric feature to generate weighted classifications (115) for a feature extraction process. biometric radar system (100) may determine whether the person is walking, talking, standing, sitting, or sleeping.
65164;neural network constructing method for identifying e.g. face of image, involves labeling neural network by labeling unit, where unit associates weight to neuron by embedding signature of initialization image in neural network;the method involves obtaining an assembly of initialization image for each membership class to be processed during an initialization phase (11). a signature is associated to a region of interest in one of initialization images. a neural map is acquired using signatures for delivering an initialized neural network. the neural network is labeled by a labeling unit during a labeling phase (12), where the unit associates a weight to neuron for one of the membership class by embedding the signature of the initialization image in the neural network. independent claims are also included for the following: (1) a device for constructing a neural network for recognizing a membership class of an image to be recognized (2) a computer program product comprising program code instructions for implementing a neural network constructing method (3) a data medium comprising a neural network (4) a method for recognizing an image using a constructed neural network (5) a device for recognizing the image using the constructed neural network (6) a computer program product comprising program code instructions for implementing an image recognizing method.
77331;system and method for similarity search of images;a system and method for an efficient semantic similarity search of images with a classification structure are provided. the system and method provide for building a semantic classification-search tree for the plurality of images (202), the classification tree including at least two categories of images, each category of images representing a subset of the plurality of images, receiving a query image (204), classifying the query image to select one of the at least two categories of images (208), and restricting the search for the image of interest using the query image to the selected one of the at least two categories of images (210).
198665;circuit testing system;the present invention relates to the field of circuit assembly testing systems and provides improved systems and methods for debugging circuit test systems and diagnosing faults in circuit assemblies. an expert system (74) derives possible root causes of test failures, predicts test results based on these possible root causes and uses factual observations to refute inconsistent hypothetical root causes. tests useful in refuting inconsistent hypothetical root causes are devised and run automatically by the system. <image>
209263;modelling tool for chemical processes;a method of amending an interaction complex (12) in a computer displayed graphical model (7) of a biochemical process, said graphical model corresponding to a mathematical representation (6) in which said interaction complex (12) is associated with a flow rate (r) between at least two entity variables (s1, p2) in the process. the method comprises receiving input from a user indicating an amendment of the interaction complex by addition or removal of an interaction object (18) to/from the interaction complex, graphically connecting/disconnecting a terminal point (20) of the interaction object and displaying an updated interaction complex, and, in the mathematical representation (6), associating the updated interaction complex (12) with one single flow rate (r), dependent on the entity variables (s1, p1, s2) now present in the interaction complex. <image>
228409;method of generating a process model;the method involves feeding of article by air, that is converted to form a flame body by combustion process and the position of the systems in the plant is indicated by position variables. a neural network is added in a step and in another step the neural network is trained with the measuring data (km(t)) of the state variables, in which measuring data has input and the output channels. the neural network is tested with measuring data of input and output channels in the third step. an independent claim is also included for a control loop for the regulation of a combustion process of a power plant of refuse incineration plant or cement plant.
