appln_id;appln_title;appln_abstract
9603;method and apparatus for automatic configuration of meta-heuristic algorithms in a problem solving environment;a methodology is presented to address the need for rapid generation and optimization of algorithms that are efficient in solving a given class of problems within the framework of a software environment. the environment incorporates an evolutionary learning methodology which automatically optimizes the configurations of procedural components of the algorithm. in this way, both the efficiency and the quality of algorithm development is enhanced significantly.
53265;a dual surrogate memetic framework for single/multi-objective evolutionary optimization of computatoinally expensive problems;"a method for the optimization of real-world objects in terms of physical parameters comprises the steps: \n - creating an offspring population (p o ) by applying an evolutionary operator to a parental population (p c ), wherein the populations (p 0 , p 1 ) comprise individuals representing a real-world object to be optimized in terms of its physical parameters; \n - performing local refinements on at least one individual of the offspring population (p o ); \n - selecting a new parental population (p c ) from a selection pool (p s ) by using a fitness function, the fitness function using physical parameters for assessing the fitness; \n - repeating the above steps until a predetermined termination criterion is met; and \n - outputting the optimized individual as a representation of an optimized real-world object. the method may be applied in all forms of design or search problems that contain computationally expensive functions, simulator or analysis code, such as drug design, material design, rainfall prediction, aerospace design, aircraft design, aerodynamic design, structural design, electromagnetic design, physics-based modelling and etc."
54657;an architecture for self-developing devices;a self-developing device (1) capable of open-ended development makes use of a special motivational system for selecting which action should be taken on the environment by an associated sensory-motor apparatus (2). for a given candidate action, a motivational module (11) calculates a reward associated with the corresponding values that would be taken by one or more motivational variables that are independent of the nature of the associated sensory-motor apparatus. preferred motivational variables are dependent on the developmental history of the device (1), and include variables quantifying the predictability, familiarity and stability of sensory-motor variables serving as the inputs to the device (1). the sensory-motor variables represent the status of the external environment and/or the internal resources (3) of the sensory-motor apparatus (2) whose behaviour is controlled by the self-developing device (1). open-ended development is enabled by attributing a reward which is proportional to the rate of change of the history-dependent motivational variables. <image>
56892;simulation of complex systems;"the invention provides a software architecture for generating and self-assembling multi-scale computer models of dynamic systems, in a way that mimics (bottom-up) morphogenesis in living organisms, but with the addition of (top-down) constraints that result in efficient model generation. once generated, the model can be used for simulations within the same software architecture. exemplary applications include the generation of models for the simulation of: human cells / organs; non-living physical artefacts; business processes; urban environments; nanotech structures. non-modelling applications for the architecture are also envisaged, including: data mining applications; decision making; e-learning/training and self-programming agents. the architecture itself comprises a collection of nested physical objects ('fus') and a related, parallel collection of nested agents ('psus') that can act on the physical objects."
73246;reson - dynamic search key for knowledge based information management;the dynamic search key is used for easy recognition of stored objects on the basis of variables and their momentary values. all variables are converted to dynamic search keys, thus allowing the search to be made without any implied knowledge about what the various variables actually represent. the dynamic search key is produced by converting a variable's momentary value to a string of characters, consisting of letters, numbers, and symbols, by making sure that only such characters are chosen that can be utilized in a search key for the database system in use, and by splitting the variable in a selected number of segments within its boundary values, with a character allocated to each of said segments, and where each such segment is being split into another number of segments within the segments boundary values, until one reaches a lower limit, given by the required precision. for each level of splitting, a character is added to a character string which finally constitutes the dynamic search key. objects being searched for contains one or more such dynamic search keys for every variable that are required to identify the object, and representing those values of said variables that are required to uniquely identify the object. a knowledge based control system using this technology is being realized by including a database with objects containing control instructions that can be retrieved by using dynamic search keys that are generated from the momentary values of one or more relevant control variables.
134571;method of providing access to an ip multimedia subsystem based on provided access network data.;a method of providing access to an ip multimedia subsystem (ims) for a subscriber (ue) comprises the steps of providing an home interface entity (hggsn) with access network data (mcc',mnc') identifying the access communication network (an), sending a message comprising the access network data (mcc',mnc') from an home interface entity (hggsn) to serving means (hss), comparing the home network data (mcc,mnc) and the access network data (mcc',mnc'), checking if the subscriber (ue) is allowed to roam based.on a set of predefined criteria when the result of the comparing step is false, and sending a message comprising the access network data (mcc',mnc') to at least one of call state control functionality means (cscf) when the result of the checking step is true.
177052;autonomous experimental design optimization;the underlying invention generally relates to the field of experimental aerodynamic and hydrodynamic design optimization issues, in particular to a method for an iterative (nondeterministic) optimization (p1) of specially designed aerodynamic and hydrodynamic surface structures (202) of aircrafts, ships and/or road vehicles, respectively, a computer software program for executing such a method, and a system for optimizing said surface structures (202). in this context, the invention presents a combination of a variable encoding length optimization algorithm based on said evolution strategy and an experimental hardware set-up (200) that allows to automatically change the surface properties of the applied material (202), starting with the overall shape and proceeding via more detailed modifications in local surface areas. <??>in one embodiment of the underlying invention, a system for the optimization (p1) of surface structures (202) is disclosed that comprises a computing device (102) for calculating optimized parameters of at least one (virtual) surface structure (202), an experimental hardware set-up (200) for measuring dynamic properties of a specific surface structure (202), and an interface (101) for feeding calculated parameters from the computing device (102) to the experimental set-up (200) and for feeding measured results back to the computing device (102) as quality values for the next cycle of the optimizing step (p1). <image>
198870;methods and apparatus for monitoring events and implementing corrective action in a computer system;"apparatus for assisting management of services provided by a computer system includes an inferencing engine (30) for carrying out inferencing operations on a declarative model (24) of a service, using facts about the system stored in a fact base (32). a resident goal store (102) contains declarative definitions of goals which concern availability of services and which it is desirable for the system to continue to satisfy; these definitions are linked to associated facts in the fact base. the service model (24) includes definitions of events which can occur in the system and may affect availability of services, and definitions of actions which can be taken to modify the configuration of the system. when occurrence of an event defined in the service model is reported to the apparatus, the event definition is used to guide analysis of the event report and appropriate updating of the fact base. goals which are linked to the updated facts are then examined to assess whether the goals are still satisfied. if a goal is no longer satisfied the service model is searched for actions which can re-configure the system to enable the goal to be re-satisfied. <image>"
199129;method of managing dynamic decision trees;a data packet switch includes a decision tree for classifying data packets, which can be dynamically modified. to conserve memory resources nodes which are found during modification to have matching effects are combined. if only a subset of paths to a node are relevant to a modification, the node is split. prior to implementation of the modifications, temporary nodes are inserted before modified nodes to preserve existing paths. these temporary nodes are controlled by a single memory value which can be changed to effect all the modifications to the decision tree simultaneously. <image>
210175;probe device for electrical stimulation and recording of the activity of excitable cells;the present invention provides a probe device (20) comprising a substrate (25) and a die (23) on top of the substrate (25), the die (23) comprising an array of stimulation/recording sites (21) having at least one stimulation means and at least one recording means. the substrate (25) comprising the die is folded into a cylindrical shape or a shape with a conical cross-section and therefore causes substantially no damage when it is implanted in tissue to be examined or treated, e.g. the brain of a patient in case of a neuro-probe device (20) for use in dbs.
