"appln_id";"appln_title";"appln_abstract";"AI.patent."
4448634;"method and apparatus for color recognition and improved color reproduction";"11 this invention is a method and apparatus for the recognition of colors. the method is based on the mapping of the three color primaries onto the chromaticity diagram. the color is identified according to a set of rules described in the patent. the method can be utilized for selective color adjustment to produce true-to-life color images. the method can also be applied to the recognition of objects according to color in machine vision problems. a method for collecting color primaries for a specific color tone is described in the patent. these values are then transformed into the non-physical primaries of the chromaticity diagram (x,y) which are then used as training data to a neural network classifier.";"Yes"
8091420;"bulk goods ship stowage method for iron and steel product";"3 the present invention relates to an iron and steel product bulk cargo ship stowage method. it is characterized by that it utilizes mixed genetic algorithm, and adopts a heuristic method to define concrete arrangement mode of cargo in every cargo hold so as to meet the cargo loading quality requirement. said genetic algorithm can use heuristic method to calculate stowage index and define the distribution of cargo in every cargo hold so as to meet the capacity limitation of every cargo hold, so that a reasonable cargo stowage scheme can be made up.";"Yes"
4823885;"case-based reasoning system and method having fault isolation manual trigger cases";"a case based reasoning system and method for determining a root cause of a problem case. a case database stores case data correlated to a plurality of cases. the plurality of cases includes at least one solved case, and at least one trigger case. each solved case in the case database includes root cause data, and each trigger case comprises a data link to at least one fault isolation manual process for determining a root cause. a processor determines a list of at least one potential case selected from sai d plurality of cases by comparing the at least one problem attribute value to the set of attribute values for each of the plurality of cases.";"Yes"
25862;"a method of stem taper, volume and product breakout prediction";"a case-based reasoning method for predicting a complete stem profile of a tree, volume of a tree stem, and/or estimating the product breakout of a tree stem, wherein only partial stem measurements for said tree are available. the method comprises: providing a case base of measured tree stem profiles, said case base comprising a set of reading heights and a corresponding set of stem diameter readings for each measured stem, using the results of a scan of at least part of the stem of said query tree to create at least one query data case, determining the similarity between the at least one query data case and each stem profile in the case base, and selecting at least one stem profile from the case base based on its similarity with the at least one query data case, and using same to make the prediction/estimation.";"Yes"
4865127;"clinical data management system and method";"a clinical data management system and method using hard c-means clustering and reinforcement-learning to improve data management. physician templates are updated/customized in accordance with witnessed behaviors over time. a hierarchical search engine is used to reduce mouse clicks. a cipher method is also provided that uses a neural network to encrypt/decrypt the clinical data used by the system.";"Yes"
4718095;"collection knowledge system";"a collection knowledge system provides context-sensitive knowledge delivery services to application programs, thereby enabling application programs to effectively support variant computational processes. in operation, a collection knowledge system receives knowledge requests fr om application programs, performs local and remote lookups into structured tree s of knowledge, and returns requested knowledge to requesting application program s. collection knowledge systems can manage knowledge for entire variant computational zes, thereby enabling application programs to calculate and execute many variant computational processes in fully automated, scalable ways that were not previously possible. as a consequence of automated process construction and execution, associated human labor costs are effectively reduced to zero.";"Yes"
180546;"auditing application activities";"a compiled application may be audited by analyzing the compiled application to identify methods that may be called during execution of the compiled application. the identified methods may be correlated with controllable activities, i.e., those activities facilitated by public apis. an audit report may be used to report to a user or administrator indications that the compiled application may attempt certain activities.";"No"
6541316;"information formalization and computer aided cross-language information exchange method";"a computer aided cross-language information exchange method different from automatic translation is disclosed. the phrase library for the several languages, combination labels (expressing that a number of language fields is combined into one language field) and relation labels (expressing the relation between the components in a combined language field) are stored in computer's memory. the information expressed by the phrases, combination labels and relation labels is displayed by input device of computer. finally, the displayed phraeses are converted into the phrases of other language by computer. said method can also be used in artificial intelligence field.";"Yes"
132361;"provision of data for data warehousing applications";"a computer network architecture for making procurement-related information that has been generated on a transaction level available to data warehousing techniques is described. the computer network architecture includes a transaction processing layer (16) with at least one accounting component (16a) with a general ledger data base (30) for centrally storing information contained in accounted-related data sets, a data warehousing layer (12) for gathering and accumulating information provided by the transaction processing layer (16) and an additional data sourcing layer 18. the data sourcing layer (18) includes a duplicator (32) receiving the accounting-related data sets that will be or have been stored in the general ledger data base (30). the duplicator (30) delivers duplicates of such accounting-related data sets that fulfil a predefined criteria in a procurement context. the data sourcing layer (18) further comprises a source data base (36) for storing the duplicated data sets on a data line level. an extractor (38) of the data sourcing layer (18) interfaces the data warehousing layer (12) and selectively moves data contained in data lines or sets of data lines from the source data base (36) to the data warehousing layer (12). <image>";"No"
225746;"method and computer system for editing documents";"a computer system 900 and for developing a software application. the system includes an editor unit 110 configured to define a layout 300 of a graphical user interface of the software application. the system further includes a view zone generator unit 130 configured to determine the resolution of a device display being used for displaying the layout 300. the view zone generator unit further calculates a view zone 350 that is adjusted to the determined resolution, wherein the view zone 350 corresponds to the visible portion of the layout 300 on the device display. the calculated view zone is outlined in the editor unit 110.";"No"
4629613;"computer/numerically controlled machines";"a computer-numerically controlled material removal machine, such as a milling machine, lathe, grinding machine, shaping machine, or the like, has drive units for moving the workpiece and the cutting tool to cause the tool to remove material from the workpiece and a computer-numerical control unit for controlling the drive units so as to optimize material removal rates. in some embodiments, the control unit senses electrical energy consumption rate at a cutting tool drive motor and vanes either or both of cutting tool speed and workpiece feed rate to maintain the energy consumption rate substantially equal to a preset reference level. in other cases, the control unit derives a signal representing force exerted between the cutting tool and the workpiece, whether by sensing power or by using a dynamometer to measure force between the workpiece and the cutting tool, and controls a plurlity of variables, conveniently by means of a fuzzy logic controller.";"Yes"
359423;"method and system for controlling an industrial process";"a control system (4) for controlling an industrial process (42), comprises an indicator generator (43) configured to determine at least one fuzzy logic based indicator (z) from the measured process variables (y). the control system (4) further comprises a state estimator (44) configured to determine estimated physical process states ( x ) based on the fuzzy indicator (z). for controlling the industrial process (42), the process controller (41) is configured to calculate manipulated variables (u) based on defined set-points (r) and based on a physical model of the process (42) using the estimated physical process states ( x ). combining a fuzzy logic indicator (z) with a model based process controller (41) makes it possible to provide robust indicators of the process states ( x ) for controlling an industrial process (42) in a real plant situation measured process variables (y) possibly contradict each other.";"Yes"
199129;"method of managing dynamic decision trees";"a data packet switch includes a decision tree for classifying data packets, which can be dynamically modified. to conserve memory resources nodes which are found during modification to have matching effects are combined. if only a subset of paths to a node are relevant to a modification, the node is split. prior to implementation of the modifications, temporary nodes are inserted before modified nodes to preserve existing paths. these temporary nodes are controlled by a single memory value which can be changed to effect all the modifications to the decision tree simultaneously. <image>";"Yes"
4933354;"method and apparatus for construction and use of concept knowledge base";"a data structure, apparatuses and methods for expanding a search query to be used by a web search engine is provided. the search query is expanded by accessing a concept knowledge base data structure having concept data objects and term data objects with each term data object defining a term and associated with at least one of the concept data objects. search terms making up the search query are matched to term data objects and a concept set is generated containing concept data objects associated with the term data objects. a second set of term data objects are generated by using the concept data objects to locate term data objects associated with the concept data objects. a user can then select one of the term data objects in the second set to expand the user's search query.";"Yes"
8100213;"intelligent design method and device for gear material selection and heat treatment process";"a design method and a device for a gear material selection and a heat process technology intelligent system applies a module structure to set up an intelligent system, which combines the general control module, a rule inference module, a matter inference module, a genetic nerve network module and a subsidiary function module, utilizes the selection of gears of intelligent system design and a heat process technological system to replace traditional artificial technological design method, which can increase design effect and shorten the design time.";"Yes"
7896397;"rapid study classifying method";"a fast leanring classification method includes coding new samples; dispatching them to different submodula, judging whether each submodule receives new sample or not; switching to next step as if it is or otherwise ending; generating matched rule set; selecting out a submodule classification sort (cs) and a final cs output; generating different feedback, refreshing rule intensity for feedback by intensified learning method and evoving submodule population with genetic algorithm.";"Yes"
284567;"filter working on image digital signals for video appliances";"a filter acting on digital image signals for apparatus of the video type comprises: at least first and second circuit means (2) and (3) adapted to elect an image edge, each said circuit means comprising at least one inferential circuit (c1 and c2) operating on a fuzzy logic, which has at least first and second input terminals and at least one output terminal, and at least first and second comparison elements (s1,s2,s3,s4) each having first and second input terminals and at least one output terminal, said input terminals being intended for receiving discrete digital signals of an image. the output terminals of the first and second comparison elements (s1 and s2) in the first circuit means (2) are respectively connected to the first and second input terminals of the inferential circuit included to said first circuit means, and the output terminals of the first and second comparison elements (s3 and s4) in the second circuit means (3) are respectively connected to the first and second input terminals of the inferential circuit included to said second circuit means. <image>";"Yes"
167773;"apparatus and machine-readable medium and method for generating markup language representing a derived entity which extends or overrides attributes of a base entity";"a markup language document (e.g. an xml document) may contain a first instance of a markup language element having an attribute with a first, platform-independent value, a second instance of the element having the attribute with a second, platform-specific value, and an indicator that the second value overrides the first. executable code may replace both of the first and second instances with a single instance having the attribute with the second value. alternatively the markup language document may contain a first instance of a markup language element having a first, platform-independent attribute, a second instance of the element having a second, platform-specific attribute different from the first attribute, and an indicator that the second instance extends the first. in this case executable code may replace both instances of the markup language element with a single instance having the first attribute and the second attribute.";"No"
9705;"mechatronic-based inverter";"a mechatronic-based converter uses an integrated artificial intelligence optimization technique to minimize the total harmonic distortion and maximum flat efficiency for the entire range of load, and to a resonant circuit within the inverter. the performance of the inverter is further improved by injecting voltage harmonics to increase the first harmonics. inverters of the present invention can be stacked to form a multi-level inverter controlled by space vector pulse width modulation.";"Yes"
6133;"method and system for real time interactive video";"a method and a system for real time interactive video include a display device having a frame, a live person, a computing machine having at least one processor, a memory, and a program, and a capture device. the program provides media content and effect track script. the capture device receives a live person image and integrates the live person image with the effect track script, and the program finally displays the outputs of the synthesized media content and the integrated live person image and effect track script on the frame at real time.";"Yes"
4470580;"method and apparatus for high resolution three dimensional scanning and non-linear assessment of surfaces";"a method and an apparatus are provided for automatically scanning and assessing surfaces, where the scanning is in three dimensions and with resolution in the micrometer range, and the assessment is performed by way of a neural network executed in real time, in parallel to the pointwise scanning of the surface under examination. infrared laser light is used for scanning and obtaining the lateral coordinate z is achieved by keeping track of the voltage required to keep the laser light beam focused on the surface under examination, relative to a known initial condition. longitudinal and latitudinal coordinates x and y are obtained by keeping track of number of steps required to turn the actuators' shafts to a given angle, in relation to a known initial condition. a neural network is used for solving the problem of pattern classification, its calculations based on stored table of parameters (weights) that are prescribed during the development stage of the apparatus. the assessment decisions are made by way of superimposing the results of neural network calculations to a key-map of outcomes, stored in memory. it is suggested that different attachments are used to accommodate a multitude of different applications with one base unit.";"Yes"
4747702;"method and apparatus for monitoring the condition of a fetus";"a method and an apparatus for monitoring the condition of a fetus to assess a degree of risk of developing a permanent neurological condition are provided. a signal indicative of a fetal heart is processed to derive a degree of risk of developing a permanent neurological condition. the degree of risk of developing a permanent neurological condition indicates a likelihood that the condition of the fetus belongs to a class in a group of classes, where the classes in the group of classes are associated with pre-defined fetal conditions characterized by a measure of base deficit and a presence or absence of new-born encephalopathy. data conveying the degree of risk of developing a permanent neurological condition is then released. in one example, a neural network is used to obtain data conveying a likelihood that the condition of the fetus belongs to a class in the group of classes.";"Yes"
