appln_id;appln_title_lg;appln_title;appln_id
107941;en;A TRANSPORT MANAGEMENT SYSTEM;107941
441236;en;LATENT METONYMICAL ANALYSIS AND INDEXING [LMAI];441236
404102;en;Data processing system and method;404102
404093;en;Method and device for speech recognition;404093
378557;en;Neuro-Fuzzy network architecture with on-line learning capabilities and corresponding control method;378557
339390;en;Method of processing test patterns for an integrated circuit;339390
326747;en;Defect inspection system.;326747
326545;en;CONTROL DEVICE IN LOOM;326545
305366;en;Neural processing element for use in a neural network;305366
302992;en;SYSTEM, METHOD, AND COMPUTER PROGRAM FOR INTERFACING AN EXPERT SYSTEM TO A CLINICAL INFORMATION SYSTEM;302992
288475;en;Interactive artificial intelligence;288475
284567;en;Filter working on image digital signals for video appliances;284567
271436;en;An adaptive control for a refrigeration system using pulse width modulated duty cycle scroll compressor;271436
214707;en;Device for assisting in the maintenance of a plasma torch.;214707
198665;en;Circuit testing system;198665
151942;en;SYSTEM AND METHOD FOR CLASSIFYING REGIONS OF KEYSTROKE DENSITY WITH A NEURAL NETWORK;151942
77331;en;SYSTEM AND METHOD FOR SIMILARITY SEARCH OF IMAGES;77331
76695;en;METHOD AND DEVICE FOR REALIZING AN ASSOCIATIVE MEMORY BASED ON INHIBITORY NEURAL NETWORKS;76695
57116;en;Image forming apparatus;57116
359423;en;Method and system for controlling an industrial process;359423
342962;en;SELECTION OF NEUROSTIMULATOR PARAMETER CONFIGURATIONS USING NEURAL NETWORKS;342962
330862;en;Detector array method and apparatus for real time in situ colour control in printers and copiers;330862
326486;en;SIGNAL PROCESSOR AND LEARNING METHOD THEREOF;326486
325767;en;Data processing system comprising a neural network;325767
250996;en;END USER CUSTOMIZABLE COMPUTER SPREADSHEET APPLICATION BASED EXPERT SYSTEM;250996
206390;en;Non-linear adaptive image filter forsuppressing blocking artifacts;206390
201241;en;EXPERT SYSTEM WITH PROCESS CONTROL;201241
157021;en;Working process monitoring device;157021
80978;en;A METHOD AND A SYSTEM FOR ESTIMATING THE IMPACT AREA OF A MILITARY LOAD LAUNCHED FROM AN AIRCRAFT;80978
49257;en;Protocol tester with expert system for telecommunication networks;49257
45814;en;AMBIENT NOISE REDUCTION;45814
30374;en;DIRECTED GRAPH EMBEDDING;30374
422588;en;Welding joining equipment for resistance welding;422588
307391;en;Traffic forecasting employing modeling and analysis of probabilistic interdependencies and contextual data;307391
307057;en;Low resolution optical character recognition for camera acquired documents;307057
306989;en;Intelligent automatic Form-Filling;306989
285380;en;Fuzzy filtering method and associated fuzzy filter;285380
