"";"CountryCode";"Year";"p1";"p2";"p3";"p4";"Total"
"1";"AL";1782;0;0;0;0;0
"2";"AL";1784;0;0;0;0;0
"3";"AL";1785;0;0;0;0;0
"4";"AL";1786;0;0;0;0;0
"5";"AL";1787;0;0;0;0;0
"6";"AL";1788;0;0;0;0;0
"7";"AL";1790;0;0;0;0;0
"8";"AL";1799;0;0;0;0;0
"9";"AL";1800;0;0;0;0;0
"10";"AL";1809;0;0;0;0;0
"11";"AL";1812;0;0;0;0;0
"12";"AL";1815;0;0;0;0;0
"13";"AL";1819;0;0;0;0;0
"14";"AL";1826;0;0;0;0;0
"15";"AL";1827;0;0;0;0;0
"16";"AL";1828;0;0;0;0;0
"17";"AL";1829;0;0;0;0;0
"18";"AL";1830;0;0;0;0;0
"19";"AL";1831;0;0;0;0;0
"20";"AL";1832;0;0;0;0;0
"21";"AL";1833;0;0;0;0;0
"22";"AL";1834;0;0;0;0;0
"23";"AL";1835;0;0;0;0;0
"24";"AL";1836;0;0;0;0;0
"25";"AL";1837;0;0;0;0;0
"26";"AL";1838;0;0;0;0;0
"27";"AL";1839;0;0;0;0;0
"28";"AL";1840;0;0;0;0;0
"29";"AL";1841;0;0;0;0;0
"30";"AL";1842;0;0;0;0;0
"31";"AL";1843;0;0;0;0;0
"32";"AL";1844;0;0;0;0;0
"33";"AL";1845;0;0;0;0;0
"34";"AL";1846;0;0;0;0;0
"35";"AL";1847;0;0;0;0;0
"36";"AL";1848;0;0;0;0;0
"37";"AL";1849;0;0;0;0;0
"38";"AL";1850;0;0;0;0;0
"39";"AL";1851;0;0;0;0;0
"40";"AL";1852;0;0;0;0;0
"41";"AL";1853;0;0;0;0;0
"42";"AL";1854;0;0;0;0;0
"43";"AL";1855;0;0;0;0;0
"44";"AL";1856;0;0;0;0;0
"45";"AL";1857;0;0;0;0;0
"46";"AL";1858;0;0;0;0;0
"47";"AL";1859;0;0;0;0;0
"48";"AL";1860;0;0;0;0;0
"49";"AL";1861;0;0;0;0;0
"50";"AL";1862;0;0;0;0;0
"51";"AL";1863;0;0;0;0;0
"52";"AL";1864;0;0;0;0;0
"53";"AL";1865;0;0;0;0;0
"54";"AL";1866;0;0;0;0;0
"55";"AL";1867;0;0;0;0;0
"56";"AL";1868;0;0;0;0;0
"57";"AL";1869;0;0;0;0;0
"58";"AL";1870;0;0;0;0;0
"59";"AL";1871;0;0;0;0;0
"60";"AL";1872;0;0;0;0;0
"61";"AL";1873;0;0;0;0;0
"62";"AL";1874;0;0;0;0;0
"63";"AL";1875;0;0;0;0;0
"64";"AL";1876;0;0;0;0;0
"65";"AL";1877;0;0;0;0;0
"66";"AL";1878;0;0;0;0;0
"67";"AL";1879;0;0;0;0;0
"68";"AL";1880;0;0;0;0;0
"69";"AL";1881;0;0;0;0;0
"70";"AL";1882;0;0;0;0;0
"71";"AL";1883;0;0;0;0;0
"72";"AL";1884;0;0;0;0;0
"73";"AL";1885;0;0;0;0;0
"74";"AL";1886;0;0;0;0;0
"75";"AL";1887;0;0;0;0;0
"76";"AL";1888;0;0;0;0;0
"77";"AL";1889;0;0;0;0;0
"78";"AL";1890;0;0;0;0;0
"79";"AL";1891;0;0;0;0;0
"80";"AL";1892;0;0;0;0;0
"81";"AL";1893;0;0;0;0;0
"82";"AL";1894;0;0;0;0;0
"83";"AL";1895;0;0;0;0;0
"84";"AL";1896;0;0;0;0;0
"85";"AL";1897;0;0;0;0;0
"86";"AL";1898;0;0;0;0;0
"87";"AL";1899;0;0;0;0;0
"88";"AL";1900;0;0;0;0;0
"89";"AL";1901;0;0;0;0;0
"90";"AL";1902;0;0;0;0;0
"91";"AL";1903;0;0;0;0;0
"92";"AL";1904;0;0;0;0;0
"93";"AL";1905;0;0;0;0;0
"94";"AL";1906;0;0;0;0;0
"95";"AL";1907;0;0;0;0;0
"96";"AL";1908;0;0;0;0;0
"97";"AL";1909;0;0;0;0;0
"98";"AL";1910;0;0;0;0;0
"99";"AL";1911;0;0;0;0;0
"100";"AL";1912;0;0;0;0;0
"101";"AL";1913;0;0;0;0;0
"102";"AL";1914;0;0;0;0;0
"103";"AL";1915;0;0;0;0;0
"104";"AL";1916;0;0;0;0;0
"105";"AL";1917;0;0;0;0;0
"106";"AL";1918;0;0;0;0;0
"107";"AL";1919;0;0;0;0;0
"108";"AL";1920;0;0;0;0;0
"109";"AL";1921;0;0;0;0;0
"110";"AL";1922;0;0;0;0;0
"111";"AL";1923;0;0;0;0;0
"112";"AL";1924;0;0;0;0;0
"113";"AL";1925;0;0;0;0;0
"114";"AL";1926;0;0;0;0;0
"115";"AL";1927;0;0;0;0;0
"116";"AL";1928;0;0;0;0;0
"117";"AL";1929;0;0;0;0;0
"118";"AL";1930;0;0;0;0;0
"119";"AL";1931;0;0;0;0;0
"120";"AL";1932;0;0;0;0;0
"121";"AL";1933;0;0;0;0;0
"122";"AL";1934;0;0;0;0;0
"123";"AL";1935;0;0;0;0;0
"124";"AL";1936;0;0;0;0;0
"125";"AL";1937;0;0;0;0;0
"126";"AL";1938;0;0;0;0;0
"127";"AL";1939;0;0;0;0;0
"128";"AL";1940;0;0;0;0;0
"129";"AL";1941;0;0;0;0;0
"130";"AL";1942;0;0;0;0;0
"131";"AL";1943;0;0;0;0;0
"132";"AL";1944;0;0;0;0;0
"133";"AL";1945;0;0;0;0;0
"134";"AL";1946;0;0;0;0;0
"135";"AL";1947;0;0;0;0;0
"136";"AL";1948;0;0;0;0;0
"137";"AL";1949;0;0;0;0;0
"138";"AL";1950;0;0;0;0;0
"139";"AL";1951;0;0;0;0;0
"140";"AL";1952;0;0;0;0;0
"141";"AL";1953;0;0;0;0;0
"142";"AL";1954;0;0;0;0;0
"143";"AL";1955;0;0;0;0;0
"144";"AL";1956;0;0;0;0;0
"145";"AL";1957;0;0;0;0;0
"146";"AL";1958;0;0;0;0;0
"147";"AL";1959;0;0;0;0;0
"148";"AL";1960;0;0;0;0;0
"149";"AL";1961;0;0;0;0;0
"150";"AL";1962;0;0;0;0;0
"151";"AL";1963;0;0;0;0;0
"152";"AL";1964;0;0;0;0;0
"153";"AL";1965;0;0;0;0;0
"154";"AL";1966;0;0;0;0;0
"155";"AL";1967;0;0;0;0;0
"156";"AL";1968;0;0;0;0;0
"157";"AL";1969;0;0;0;0;0
"158";"AL";1970;0;0;0;0;0
"159";"AL";1971;0;0;0;0;0
"160";"AL";1972;0;0;0;0;0
"161";"AL";1973;0;0;0;0;0
"162";"AL";1974;0;0;0;0;0
"163";"AL";1975;0;0;0;0;0
"164";"AL";1976;0;0;0;0;0
"165";"AL";1977;0;0;0;0;0
"166";"AL";1978;0;0;0;0;0
"167";"AL";1979;0;0;0;0;0
"168";"AL";1980;0;0;0;0;0
"169";"AL";1981;0;0;0;0;0
"170";"AL";1982;0;0;0;0;0
"171";"AL";1983;0;0;0;0;0
"172";"AL";1984;0;0;0;0;0
"173";"AL";1985;0;0;0;0;0
"174";"AL";1986;0;0;0;0;0
"175";"AL";1987;0;0;0;0;0
"176";"AL";1988;0;0;0;0;0
"177";"AL";1989;0;0;0;0;0
"178";"AL";1990;0;0;0;0;0
"179";"AL";1991;0;0;0;0;0
"180";"AL";1992;0;0;0;0;0
"181";"AL";1993;0;0;0;0;0
"182";"AL";1994;0;0;0;0;0
"183";"AL";1995;0;0;0;1;1
"184";"AL";1996;0;0;0;0;0
"185";"AL";1997;0;0;0;0;0
"186";"AL";1998;0;0;0;0;0
"187";"AL";1999;0;0;0;0;0
"188";"AL";2000;0;0;0;0;0
"189";"AL";2001;0;0;0;0;0
"190";"AL";2002;0;0;0;1;1
"191";"AL";2003;0;0;0;0;0
"192";"AL";2004;0;0;0;0;0
"193";"AL";2005;0;0;0;0;0
"194";"AL";2006;0;0;0;0;0
"195";"AL";2007;0;0;0;0;0
"196";"AL";2008;0;0;0;0;0
"197";"AL";2009;0;0;0;0;0
"198";"AL";2010;0;0;1;0;1
"199";"AL";2011;0;0;0;1;1
"200";"AL";2012;0;0;0;0;0
"201";"AL";2013;0;0;0;2;2
"202";"AL";2014;0;0;0;3;3
"203";"AL";2015;0;0;0;0;0
"204";"AL";2016;0;0;0;0;0
"205";"AL";2017;0;0;0;0;0
"206";"AL";9999;0;0;0;13;13
"207";"AM";1782;0;0;0;0;0
"208";"AM";1784;0;0;0;0;0
"209";"AM";1785;0;0;0;0;0
"210";"AM";1786;0;0;0;0;0
"211";"AM";1787;0;0;0;0;0
"212";"AM";1788;0;0;0;0;0
"213";"AM";1790;0;0;0;0;0
"214";"AM";1799;0;0;0;0;0
"215";"AM";1800;0;0;0;0;0
"216";"AM";1809;0;0;0;0;0
"217";"AM";1812;0;0;0;0;0
"218";"AM";1815;0;0;0;0;0
"219";"AM";1819;0;0;0;0;0
"220";"AM";1826;0;0;0;0;0
"221";"AM";1827;0;0;0;0;0
"222";"AM";1828;0;0;0;0;0
"223";"AM";1829;0;0;0;0;0
"224";"AM";1830;0;0;0;0;0
"225";"AM";1831;0;0;0;0;0
"226";"AM";1832;0;0;0;0;0
"227";"AM";1833;0;0;0;0;0
"228";"AM";1834;0;0;0;0;0
"229";"AM";1835;0;0;0;0;0
"230";"AM";1836;0;0;0;0;0
"231";"AM";1837;0;0;0;0;0
"232";"AM";1838;0;0;0;0;0
"233";"AM";1839;0;0;0;0;0
"234";"AM";1840;0;0;0;0;0
"235";"AM";1841;0;0;0;0;0
"236";"AM";1842;0;0;0;0;0
"237";"AM";1843;0;0;0;0;0
"238";"AM";1844;0;0;0;0;0
"239";"AM";1845;0;0;0;0;0
"240";"AM";1846;0;0;0;0;0
"241";"AM";1847;0;0;0;0;0
"242";"AM";1848;0;0;0;0;0
"243";"AM";1849;0;0;0;0;0
"244";"AM";1850;0;0;0;0;0
"245";"AM";1851;0;0;0;0;0
"246";"AM";1852;0;0;0;0;0
"247";"AM";1853;0;0;0;0;0
"248";"AM";1854;0;0;0;0;0
"249";"AM";1855;0;0;0;0;0
"250";"AM";1856;0;0;0;0;0
"251";"AM";1857;0;0;0;0;0
"252";"AM";1858;0;0;0;0;0
"253";"AM";1859;0;0;0;0;0
"254";"AM";1860;0;0;0;0;0
"255";"AM";1861;0;0;0;0;0
"256";"AM";1862;0;0;0;0;0
"257";"AM";1863;0;0;0;0;0
"258";"AM";1864;0;0;0;0;0
"259";"AM";1865;0;0;0;0;0
"260";"AM";1866;0;0;0;0;0
"261";"AM";1867;0;0;0;0;0
"262";"AM";1868;0;0;0;0;0
"263";"AM";1869;0;0;0;0;0
"264";"AM";1870;0;0;0;0;0
"265";"AM";1871;0;0;0;0;0
"266";"AM";1872;0;0;0;0;0
"267";"AM";1873;0;0;0;0;0
"268";"AM";1874;0;0;0;0;0
"269";"AM";1875;0;0;0;0;0
"270";"AM";1876;0;0;0;0;0
"271";"AM";1877;0;0;0;0;0
"272";"AM";1878;0;0;0;0;0
"273";"AM";1879;0;0;0;0;0
"274";"AM";1880;0;0;0;0;0
"275";"AM";1881;0;0;0;0;0
"276";"AM";1882;0;0;0;0;0
"277";"AM";1883;0;0;0;0;0
"278";"AM";1884;0;0;0;0;0
"279";"AM";1885;0;0;0;0;0
"280";"AM";1886;0;0;0;0;0
"281";"AM";1887;0;0;0;0;0
"282";"AM";1888;0;0;0;0;0
"283";"AM";1889;0;0;0;0;0
"284";"AM";1890;0;0;0;0;0
"285";"AM";1891;0;0;0;0;0
"286";"AM";1892;0;0;0;0;0
"287";"AM";1893;0;0;0;0;0
"288";"AM";1894;0;0;0;0;0
"289";"AM";1895;0;0;0;0;0
"290";"AM";1896;0;0;0;0;0
"291";"AM";1897;0;0;0;0;0
"292";"AM";1898;0;0;0;0;0
"293";"AM";1899;0;0;0;0;0
"294";"AM";1900;0;0;0;0;0
"295";"AM";1901;0;0;0;0;0
"296";"AM";1902;0;0;0;0;0
"297";"AM";1903;0;0;0;0;0
"298";"AM";1904;0;0;0;0;0
"299";"AM";1905;0;0;0;0;0
"300";"AM";1906;0;0;0;0;0
"301";"AM";1907;0;0;0;0;0
"302";"AM";1908;0;0;0;0;0
"303";"AM";1909;0;0;0;0;0
"304";"AM";1910;0;0;0;0;0
"305";"AM";1911;0;0;0;0;0
"306";"AM";1912;0;0;0;0;0
"307";"AM";1913;0;0;0;0;0
"308";"AM";1914;0;0;0;0;0
"309";"AM";1915;0;0;0;0;0
"310";"AM";1916;0;0;0;0;0
"311";"AM";1917;0;0;0;0;0
"312";"AM";1918;0;0;0;0;0
"313";"AM";1919;0;0;0;0;0
"314";"AM";1920;0;0;0;0;0
"315";"AM";1921;0;0;0;0;0
"316";"AM";1922;0;0;0;0;0
"317";"AM";1923;0;0;0;0;0
"318";"AM";1924;0;0;0;0;0
"319";"AM";1925;0;0;0;0;0
"320";"AM";1926;0;0;0;0;0
"321";"AM";1927;0;0;0;0;0
"322";"AM";1928;0;0;0;0;0
"323";"AM";1929;0;0;0;0;0
"324";"AM";1930;0;0;0;0;0
"325";"AM";1931;0;0;0;0;0
"326";"AM";1932;0;0;0;0;0
"327";"AM";1933;0;0;0;0;0
"328";"AM";1934;0;0;0;0;0
"329";"AM";1935;0;0;0;0;0
"330";"AM";1936;0;0;0;0;0
"331";"AM";1937;0;0;0;0;0
"332";"AM";1938;0;0;0;0;0
"333";"AM";1939;0;0;0;0;0
"334";"AM";1940;0;0;0;0;0
"335";"AM";1941;0;0;0;0;0
"336";"AM";1942;0;0;0;0;0
"337";"AM";1943;0;0;0;0;0
"338";"AM";1944;0;0;0;0;0
"339";"AM";1945;0;0;0;0;0
"340";"AM";1946;0;0;0;0;0
"341";"AM";1947;0;0;0;0;0
"342";"AM";1948;0;0;0;0;0
"343";"AM";1949;0;0;0;0;0
"344";"AM";1950;0;0;0;0;0
"345";"AM";1951;0;0;0;0;0
"346";"AM";1952;0;0;0;0;0
"347";"AM";1953;0;0;0;0;0
"348";"AM";1954;0;0;0;0;0
"349";"AM";1955;0;0;0;0;0
"350";"AM";1956;0;0;0;0;0
"351";"AM";1957;0;0;0;0;0
"352";"AM";1958;0;0;0;0;0
"353";"AM";1959;0;0;0;0;0
"354";"AM";1960;0;0;0;0;0
"355";"AM";1961;0;0;0;0;0
"356";"AM";1962;0;0;0;0;0
"357";"AM";1963;0;0;0;0;0
"358";"AM";1964;0;0;0;0;0
"359";"AM";1965;0;0;0;0;0
"360";"AM";1966;0;0;0;0;0
"361";"AM";1967;0;0;0;0;0
"362";"AM";1968;0;0;0;0;0
"363";"AM";1969;0;0;0;0;0
"364";"AM";1970;0;0;0;0;0
"365";"AM";1971;0;0;0;0;0
"366";"AM";1972;0;0;0;0;0
"367";"AM";1973;0;0;0;0;0
